Comment,Author,Date,Score
"How did that happen?  Why did it happen?   Man, it's almost like he loaded the SCOTUS with die hard MAGA supporters.  Oh wait.",tinyE1138,2025-05-06T13:51:36,72
"On the bright side, let all the white nationalists sacrifice themselves for these clowns.",rodgapely,2025-05-06T14:39:50,25
https://www.aclu.org/issues/lgbtq-rights/transgender-rights  🇺🇸 Donate and organize 🏳️‍⚧️  June 6 DDay Veterans Rally in DC  Unite4veterans.org,Grand_Quiet_4182,2025-05-06T14:19:10,16
"Just to clarify, this isn’t the end of the legal fight. SCOTUS specifically is allowing the ban to go into effect while court proceedings are ongoing. The ban had been frozen during proceedings by a lower court previously.   Still not good by any means, but not the end yet.",Joopac_Badur,2025-05-06T15:32:53,9
"What a fucking waste of everyone's time.  Transgender people represent 0.6% of the military.  The administration knows despite the trivial number of trans people, uneducated MAGA people will love it",metskyfan,2025-05-06T15:55:46,8
It’ll be reversed in 2028 when a democrat president has to sweep up the republican rubble again. Just like Biden did in 2021 to trump’s old ban.,Acuallyizadern93,2025-05-06T14:36:29,14
For fucks sake!,sunnysidejacqueline,2025-05-06T14:08:33,4
And Obama rolled over and gave the  republicans 1 SC judge and the democrats didn’t do anything and have Trump 3 in a few months!. Thanks democrats!,dyslexic-alien,2025-05-06T14:49:25,2
"EO to reinstate Don’t Ask, Don’t Tell in 5..4..3..  Yes, it’s law. Until Trump signs an EO saying it isn’t.",696D726564646974,2025-05-07T07:20:43,1
"Let’s be honest this was never about military readiness or cost. It’s just cruelty, plain and simple.   The Army spends about $58,000 to recruit and train a single soldier through their first six months. That doesn’t even include the long-term investment in ongoing training, experience, and benefits. Kicking out trained transgender troops means wasting all of that and then spending even more to replace them.   The idea that banning capable, committed people somehow makes the military stronger is ridiculous. This is pure discrimination, and it actually weakens the force.",Lucky-Pause-2176,2025-05-10T12:49:16,1
Good job SCOTUS in allowing our military and the U.S. look weaker in one decision. No other western developed country bans transgender troops. This makes us look stupid and weak! Congrats transphobes and MAGA your hate and stupidity wins!  SMH....,Christymapper71,2025-05-06T15:43:40,1
[removed],[deleted],2025-05-06T14:50:07,-8
"Republicans appointed 16 of the last 21 Supreme Court Justices in the past 55 years.  Impeached presidents  Nixon + Trump appointed 7, Democrats appointed 5.  The fact that two of the most corrupt presidents in US history have appointed more SCJs in the last half century than all Democrats combined is terrifying.",charlito3210,2025-05-06T14:02:31,51
"If that were true, they wouldn't have ruled against him in virtually every ruling till now.",VintageLV,2025-05-06T14:02:22,-9
They can larp until the cows come home. Why don't they jump at the chance?,13508615,2025-05-06T15:13:24,2
I'll get the popcorn ready!,OhioRanger_1803,2025-05-06T15:06:21,1
Regardless of the amount of troops affected it makes our military and us look weak to the world. All in name of bigotry. NOT GOOD.,Christymapper71,2025-05-06T16:03:15,1
"Yes. Other numbers show 0.4%. The Democratic Party should not be expending political capital on this tiny minority. Overemphasis on this benefits Trump. Remember ""Kamala is for they/them. President Trump is for you"". It worked for Trump.",Animats,2025-05-06T16:28:25,0
Optimistic,ZenythhtyneZ,2025-05-06T15:15:57,9
Once Mitch McConnell decided that he wasn’t going to hold a confirmation vote and Merrick Garland was never going to get a shot. What do you think Obama should’ve done at that point-realistically-what do you think he could have done?,Lucky_leprechaun,2025-05-06T16:26:05,2
Reasonable criterion,rvaducks,2025-05-06T15:09:40,1
"Nixon wasn't impeached, he resigned before it could happen.",Debalic,2025-05-06T14:09:52,17
I'd give away all of them just to have R v. Wade back.,tinyE1138,2025-05-06T14:27:50,8
"They have done EXACTLY what they intended in their presidential immunity case: made SCOTUS the final arbiter of what is and isn't unconstitutional, instead of allowing lower courts to do their jobs. They crowned themselves kingmakers AND kings-master.  They forget that kings dont abide courts...",ZoomZoom_Driver,2025-05-06T16:19:04,5
Many of our policies are in the name of bias and bigotry,metskyfan,2025-05-06T16:06:28,1
Exactly this! Equal rights are only for minorities that make up 15% of the population or more! /s,JookieThePartyInACan,2025-05-06T17:48:39,1
"Fight?, argue?, call his bs?. When republicans wanted to shove 3 supreme courts candidates in like 2 months before the election, democrats didn’t do crap!",dyslexic-alien,2025-05-06T16:29:44,2
I often wonder about this myself. I was angry back then and that angers just has snowballed since. It was a pivotal moment for this country.,Christymapper71,2025-05-06T16:33:52,1
close enough,WillyDAFISH,2025-05-06T14:52:30,16
"That's not true, either. The Garcia case is the perfect example. The lower court ruled that Garcia should be returned for due process. The SCOTUS agreed, but sent it *back* to the lower court for further clarification. That's how it's always worked.",VintageLV,2025-05-06T16:24:28,0
That doesn't counter my point though. And you say that like that's a good thing!,Christymapper71,2025-05-06T16:09:17,2
"Again-with the minority at that time, what could the Democrats have done to stop it?  Please understand I like you feel the injustice of it all, but I want to know what steps you think could have been taken that weren’t taken that would have made any difference",Lucky_leprechaun,2025-05-06T16:32:05,1
How well is that enforcement of court orders going?,ZoomZoom_Driver,2025-05-06T16:35:02,5
Nothing in my comment or comments in any way implies that it is a good thing,metskyfan,2025-05-06T16:14:55,2
Glad to hear it.,Christymapper71,2025-05-06T16:18:38,1
