Comment,Author,Date,Score
"I’m surprised the police arrested him.  The clowns admitted to it, and said he had it coming.  These guys are not very bright.  Maybe they thought the same as me, that they weren’t at risk of getting arrested.  This commie shouldn’t be teaching, maybe collecting trash?",j3remy2007,2025-04-16T05:24:19,8
…..and they wonder why they lost,ITrCool,2025-04-15T22:34:32,30
Doesn't surprise me.  The lefty losers are nuts here.,murderinthedark,2025-04-15T22:44:30,24
Look closely at the attackers picture [https://i.dailymail.co.uk/1s/2025/04/15/20/97313485-14615465-image-m-41\_1744744902347.jpg](https://i.dailymail.co.uk/1s/2025/04/15/20/97313485-14615465-image-m-41_1744744902347.jpg) nice hammer and sickle,Ok_Confection_9350,2025-04-15T22:56:38,31
The freshman professor claimed that he didn't think he did anything wrong because the student wearing a Trump hat deserved what was coming to him...    That tells you all you need to know.,Wide_Fig3130,2025-04-15T23:45:21,38
Bruh. An instructor??? That’s wild.,Clint1027,2025-04-15T23:54:29,18
"They're not just nuts, they are dangerous.",sowellpatrol,2025-04-16T04:10:50,9
This dude thinks he would be worth anything to a communist regime? Professors and historians are the first to go. They wouldn't be able to do physical labor anyway.,sowellpatrol,2025-04-16T02:15:32,33
"Exactly. A true Communist. A true bully. A true victim blamer. You don't have the right to assault someone no matter how angry they ""make"" you. And I put 'make' in quotes because no one is responsible for your emotions except yourself.",sowellpatrol,2025-04-16T04:10:13,14
"Liberals have circled back to, ""She wasn't raped, just look at how she was dressed!  She was *begging* for it!""  Un-fucking-real.",H3nchman_24,2025-04-16T10:46:34,4
Yet every communist regime is spearheaded by teachers and students.,kaytin911,2025-04-16T05:38:12,12
"Oh, the irony.",sowellpatrol,2025-04-16T10:45:14,3
