Comment,Author,Date,Score
"I actually just saw the air show a few weeks ago. It was amazing and I didn’t care at all who was flying the planes, those pilots have balls of steel",rysik414,2025-04-17T11:12:54,738
She has an extensive Wikipedia page with all her additional accomplishments.  (?),bozoconnors,2025-04-17T12:29:04,239
Malicious compliance?,Long_Jelly_9557,2025-04-17T10:50:51,280
Let's stop segregating ourselves by immutable characteristics.,Substandard_Senpai,2025-04-17T14:07:03,37
[removed],[deleted],2025-04-17T19:01:08,1
Continuing their malicious compliance.,slothboy,2025-04-17T16:14:47,-20
"I'm glad we are ending woke mind virus. Women are great at so many things, but fighting wars will always need the strength of men.",USA_Patriot_100,2025-04-18T16:00:46,-2
"Guarantee if the article talks about breaking barriers etc because of gender that's why it was taken down.  Nobody is taking away from her accomplishments, it's the other junk they cram into the article.",Merax75,2025-04-17T12:22:47,-137
[removed],[deleted],2025-04-17T11:07:05,-274
"There has been buttloads of this type of rage bait, particularly in r/facepalm, most of which can be easily chalked up to standard ""new administration redecorating things"".  Malicious compliance to stir pots and create more rage bait?  Not out of the question.  Something that would have been put back up when the redecorating was finished? Also possible. Evil racist sexist Hitler Mcshroomwienie working to make Handmaid's Tale reality?  Seems less likely.  But I'm not a moonbat.",enslaved1,2025-04-17T18:41:31,-33
"“Air Force public affairs representatives from Seymour Johnson Air Force Base in North Carolina, where Malachowski was a former commander of the 333rd Fighter Squadron, confirmed to 9NEWS that the articles were removed as part of compliance with presidential directives targeting DEI content.”  That sounds a WHOLE LOT like malicious compliance to me…",cliffotn,2025-04-17T13:17:17,273
"Yeah, here it is: [Nicole Malachowski](https://en.m.wikipedia.org/wiki/Nicole_Malachowski)  She is highly decorated. This has to be malicious compliance.",zip117,2025-04-17T12:37:43,380
"Does EVERY Thunderbird pilot have an extensive Wikipedia page?    Point being,  if her accomplishments are far above those of the others then she should be celebrated.   If not, then it's the soft sexism of lesser expectations.",silverbullet52,2025-04-17T21:29:40,-53
"Apparently there are conservatives who truly believe this should have been removed, so I wouldn't immediately assume malicious compliance.",JonSnowAzorAhai,2025-04-18T03:00:47,131
"They're removing identity politics garbage.  People should be judged on merit, not genetics.  Ironically, the lib brigade downvoting people here would literally downvote Martin Luther King Jr saying people should be judged by the content of their character.  We've come full circle.",ChristopherRoberto,2025-04-17T12:19:51,-271
Or just compliance. Was she notable for her record compared to other pilots or commanders? Or was she notable for being the first woman doing those jobs?    Edit: Downvotes instead of proof she was a noteworthy pilot? Seems legit lol,PFirefly,2025-04-17T11:12:42,-192
"Not really. It took some digging but here’s the article:  https://web.archive.org/web/20241010112720/https://www.af.mil/News/Article-Display/Article/109532/a-life-in-flight-for-first-woman-thunderbirds-pilot/  > In interviews, however, Malachowski often repeated that she didn’t think her gender set her apart.  That’s the general theme of the article, that men and women are all part of the same team. This isn’t some DEI nonsense. I guarantee it’s some lib in the media office taking this stuff down to score points against Trump.",zip117,2025-04-17T13:02:01,81
[deleted],[deleted],2025-04-17T12:47:51,113
Absolutely.,MikeyPh,2025-04-17T17:53:53,28
