Comment,Author,Date,Score
"Trump said P2025 wasn't ""his"" platform.  Trump ""says"" a lot of things.  Learning the blatant liar is a liar must be a hard pill to swallow.",RogueNiao,2025-04-24T16:58:45,92
![gif](giphy|hiLLD9o1wTB3a),ReturningRelavent,2025-04-24T17:36:43,63
![gif](giphy|9u1txH59V1OBq)  Amen to this song and it’s such a good song  Edit: Thank you for the upvotes!!! I just say whatever pops in my head first XD it either fails or wins,GothWitch12,2025-04-24T18:04:52,51
I voted to hurt YOU so why won’t you help me now???,ButterscotchIll1523,2025-04-24T20:41:10,29
Amazing!,Thelastsamurai74,2025-04-24T18:01:04,12
Love this,420printer,2025-04-24T18:07:20,12
I'm starting to think algorithmic based news sources might be a problem.,notoriousscrub,2025-04-24T20:51:54,10
Do you think he’ll learn ANYTHING from this?,sketchahedron,2025-04-24T18:57:49,22
![gif](giphy|tYUdYgRXPKz84crk0w|downsized)  My new bop,Shooshookle,2025-04-24T20:42:45,10
"It’s the zero accountability from right wing folks, and the utter disregard the policy’s they were voting for and expecting unity???? Like you don’t get to be an ass and then expect friendship.",Zealousideal-Ad3814,2025-04-24T21:17:24,9
She’s. Amazing.,Editor_Rise_Magazine,2025-04-24T23:11:17,9
You unite through hate and oppression and somehow you don’t think they’d turn around and bite you?? It is what happens when you pretend that you’re religious and you do evil in the name of God. God never taught hate.,Potato2266,2025-04-24T22:01:11,9
I'm going to nominate this for the new National anthem.  ![gif](giphy|KdiyvCVE4bFWE),booksandotherstuff,2025-04-24T23:02:57,9
"Starve, moron, starve",ForeskinForever70,2025-04-24T18:47:07,21
The sub has its own theme song!,Neko_Dash,2025-04-24T22:53:07,7
"Trp lies about EVERYTHING. When will they get this? It's not even words to him. It's merely warmed, halitosis fragranced air, shaped into vibrations from a tiny, cracked tongue that form sounds that other, very misguided, people understand as language and interpret as something intelligent and rational.  You cannot build life choices around this man.",eggybread70,2025-04-25T02:33:07,6
"All these Trump loving MAGA types were so proud of their support for Trump and the MAGA way of life and now….not so much. Hey pal, you voted for this so enjoy dude! 😏",beavis617,2025-04-25T05:12:02,6
"Ladies and Gentlemen, The Base!",Thumbkeeper,2025-04-24T20:07:17,5
Too bad so sad,OddballLouLou,2025-04-24T21:30:07,4
![gif](giphy|BPJmthQ3YRwD6QqcVD|downsized),Mysterious_Tax_5613,2025-04-25T08:05:48,5
Everybody who could have voted against this monster but didn’t needs to suffer.,Freebird_1957,2025-04-24T19:22:21,9
This is amazing,Monster_Dong,2025-04-24T21:26:06,5
"Ah, humans can be so creative. 👏🏼",amywhatsherface,2025-04-25T03:11:17,5
Well that was fucking fabulous,Fitz_2112b,2025-04-25T05:34:12,4
"“That was the information I had” sir, no. You had the project 2025 information at your fingertips, you just chose to believe the biggest liar on the planet when he said he didn’t know anything about it. Now he’s checking off that list at a rapid pace. It’s not about you not voting in “my party” it’s you choosing to ignore all the red flags we desperately tried to show all of you and you all turning a blind eye saying “that’s not what he’s running on, he won’t actually do that, he’s just blowing smoke.” Never knew the leopards would be feasting so damn good so damn quickly",travel_witch,2025-04-25T07:09:14,3
I have never seen anything remotely creative from republicans. Like this was barely amusing but it was better than anything they ever produced,fantasypants,2025-04-24T22:55:17,2
![gif](giphy|VLe9cJCjYWXLy),jwrangler777,2025-04-25T09:09:43,2
Thanks for sharing my song!,chescaleigh,2025-04-26T08:18:16,2
Genius.,TheSonOfAeolus,2025-04-25T13:07:52,1
💙,EducatorGuilty8299,2025-04-25T15:39:51,1
The guy on the back right is a BEF gang member.  Big   Ears  Fetcher  For life.,juni4ling,2025-04-25T16:58:09,1
I loved this. Bravo! We want more!,bakeacake45,2025-04-26T11:20:22,1
hope he does lose it. He voted for it.,WhateverInCville,2025-05-07T21:37:27,1
"It’s more than Project 2025. He actually SAID OUT LOUD what he was going to do but all he heard was, hurt the people I hate",ButterscotchIll1523,2025-04-24T20:42:19,29
Nope! He’ll be back in the voting booth next time without a doubt.,Thumbkeeper,2025-04-24T20:07:52,20
"Last I heard, he actually has changed his mind. I’m not 100% sure though.",petielvrrr,2025-04-25T05:20:32,1
"I am a white 63-year-old male, who does not go to church regularly…  All I got to say is: *Preach* !!!",TommyDaComic,2025-04-25T08:48:16,5
Thank you! 🥰,chescaleigh,2025-04-29T11:37:45,2
"That's precisely the wrong attitude to have.  If people are serious about getting rid of this administration, and quickly, it's precisely supporters who are turning on Trump that we need onside.   It's precisely this kind of thinking that creates the identity threat that polarises people, created the problem we face, and perpetuates it.   Things are to urgent to indulge in schadenfreude.",McRattus,2025-04-25T03:07:40,6
Thank you for making such a gem! This was just the kind of thing we needed around here for some smiles.    💜,thatirishguyyyyy,2025-04-26T15:54:03,1
Maybe but he can sing! What can you do?,bakeacake45,2025-04-26T11:21:48,2
*Keep them dumb and keep them voting red*,DogPoolsPaPa,2025-04-24T22:59:49,7
This was funny. If i see you on snl with that talent i won’t be surprised.,Editor_Rise_Magazine,2025-04-29T15:36:02,1
Bullshit. Nothing will ever change with these Trump supporters. They are immune to facts. Screw them. I have ZERO patience or compassion for Fascism.,ForeskinForever70,2025-04-25T09:20:14,1
And sing beautifully.   Me? I just have big ears.,juni4ling,2025-04-26T14:41:46,1
