Comment,Author,Date,Score
[removed],[deleted],2025-04-29T02:56:36,527
![gif](giphy|3o6ZsSjGiLdF7JWCiI),Resident_Maybe_6869,2025-04-29T07:16:32,16
"As resident Canadian, I want to explain somethings here. Its not a win, but its not as big of a loss as it could have been.   This isn't like in America where its binary, he wins or he loses, its closer to the house, who got the most seats and who is the majority leader.   They won a minority, which means they got the most seats out of all the parties, but not enough. So say the Conservatives and the Bloc decided to team up they could out vote them.  Also, it looks like we gained a lot of conservative seats over last time. How did we lose then? Well the far far left NDP voters really didn't like Poilievre and strategically voted Liberal. Anyone telling you this is was his fault is wrong - he did the best we could ask for.   So is it a loss? Yes - but this isn't as bad as say Kamala Harris winning the presidency. Basically I expect shit isn't going to get done for the most part and we'll have an election soon than 5 years from now, basically whenever NDP thinks they can afford one and its advantageous of them to pick up more seats so they can help us vote for one.   That said,  in the unlikely event of anyone reading this has an ear to President Trump - tell him next election to shut the fuck up. We had this until all the 51st state talk.",mattcruise,2025-04-29T00:13:23,333
Why on earth would anyone want Canada to be part of the US when they are incredibly liberal? No thanks,UConnSimpleJack,2025-04-29T06:53:11,46
"Poilievre supported Canada taking in 200-250k permanent resident immigrants a year. This guy supported mass migration and did not deserve a victory when his only qualification was ""not Trudeau."" Right-wing Canadians deserve better than that. If you want to see what this approach gets a country in the long-term, look no further than Britain with its useless Tories.  When Carney took the stage as a *relatively* more moderate candidate compared to Trudeau, Poilievre could barely distinguish himself from him.",Magehunter_Skassi,2025-04-29T00:12:57,114
"Sounds like Agenda 2030 is back on for Canada, boys!",sowellpatrol,2025-04-29T01:08:31,14
"Oh, Canada....",H3nchman_24,2025-04-29T00:36:33,6
Good job canada litterally selling your country out to China. Somehow managed to pick someone even worse than truduea. Its gonna be rough for you good luck.,ultrainstict,2025-04-29T06:05:24,2
"That's a shame - More of the same ruinous policies for Canadians.   Granted the Trump shenanigans were singularly unhelpful, but the fact that people couldn't see they were being completely played by the Liberals on that point and bought into it 100% is more than a little sad. ",WPWeasel,2025-04-29T05:42:29,4
[deleted],[deleted],2025-04-29T04:00:53,-10
"They really showed Trump! This is the perfect example of one cutting off their nose to spite their face. Good luck, Canada. You’re going to need it.",VerusPatriota,2025-04-29T01:15:46,-21
Canada committing suicide through liberals along with the rest of the Anglo Commonwealth. No surprise.,Far-prophet,2025-04-29T09:18:33,1
lol some of the comments here  Did Trump hold a gun to their head in the voting booth and force them to vote liberal?,plitspidter,2025-04-29T04:28:19,-6
The rest of the planet is such a lost cause right now …,deadzip10,2025-04-29T00:55:11,-20
"The people voted for who they want, irregardless of Trump's comments. They still want higher home prices and constant immigration, alignment with China, so be it.  Trump will just increase rhetoric at this point. Canada chose to keep a liberal in power.",BucDan,2025-04-29T08:39:38,-2
This is great. Now Canada can break up slowly with Alberta first to join the US and more can follow.,the445566x,2025-04-29T00:22:50,-30
This is actually great news. The mainstream conservative Canadian party is similar to the UK tories. They are bad. They will poison the well for the Canadian right. With liberals leading again it opens the door for potential actual right in the future.,kaytin911,2025-04-29T00:50:03,-30
Will be fun watching them get what they deserve now,Disastrous-Power-699,2025-04-29T07:36:13,-8
[removed],[deleted],2025-04-29T06:22:39,-67
> We had this until all the 51st state talk.  This seemed obvious to the entire world minus exactly one person.  *sigh*,Literary_Addict,2025-04-29T01:50:51,322
"Trust us, we've been telling him to stop his trash talking and nonsense tweeting for over a decade now.   He's not going to ever change.  We're sorry that he cost your conservative citizens the election.  Despite what the media and Leftists try to spin, we still really like our northern allies and wish nothing but the best for you.     Hopefully this won't make things too difficult for you until your next election cycle.",MildlyBemused,2025-04-29T03:48:27,62
"Sure he won't have that much power but the issue is Canada is already on the wrong track because of the previous liberal administrations. If nothing changes Canada is still fucked they needed a conservative win to try and get back on the right path, although I think Canada is too far gone already.",Hectoriu,2025-04-29T02:46:51,-20
nice,Erotic-Career-7342,2025-04-29T10:53:27,1
"Nobody who has ever read Carney’s book or paid the smallest bit of attention to his career and public statements would consider him “moderate.”  Mark Carney is one of the most terrifying human beings on the planet, and he is far more radical and ruthless than Justin Trudeau.",collymolotov,2025-04-29T01:06:35,-7
Yes he would have poisoned the well for the Canadian right. This is great news. Good riddance.,kaytin911,2025-04-29T00:51:04,-17
"I really hate the Trump did this mindset. Canada is already incredibly liberal and they are importing millions of left votes yearly. Saying Trump did this is the left being way too self important, not everything is about them and their issues.",Hectoriu,2025-04-29T02:49:08,8
Thats what they want you to think. Remember in the liberal mindset everything is trumps fault. Even if a meteor hit the earth.,Jurclassic5,2025-04-29T07:34:25,11
"> We're sorry that he cost your conservative citizens the election  Speak for yourself.  I am not sorry for anything, fellow conservative.  If Canadians are that weak, then they REALLY deserve the liberal shithole they made for themselves.",BohdiOfValhalla,2025-04-29T09:23:57,-29
"Can you elaborate on that? Most of us have very little idea of Canadian politics, and the media is doing its best to portray Carney as a reasonable, moderate savior.",MarcVipsaniAgrippa,2025-04-29T03:31:12,39
