Comment,Author,Date,Score
The Vatican: a sovereign state surrounded by walls and extremely exclusive on who it allows in.  Sounds like a model to emulate.,Far-prophet,2025-04-20T11:26:27,14
How many illegal aliens they got in the Vatican City?  Is it zero?  I coulda swore it was zero.,DrStevenPoop,2025-04-19T17:35:49,122
No one should care what the church has to say about running a country.,kaytin911,2025-04-19T18:39:51,49
"People are free to donate their own funds to whatever causes they wish but for the Vatican to dictate how citizens of the United States should spend their money when the Vatican protests against us in stopping foolishness like USAID, that dog won’t hunt. If the Vatican wants to take up the cause, use your billions. The American citizen is currently well represented.",Sure-Wishbone-4293,2025-04-19T18:56:07,26
This is hilarious coming from the Vatican.,RollTider1971,2025-04-19T18:56:33,32
The Vatican’s moral high ground is at sea level at best. ,uponone,2025-04-19T20:06:41,20
Why is anyone from our federal government even acknowledging criticism from the Vatican?,The_Mighty_Rex,2025-04-19T19:02:40,-4
All the real Catholics want a new pope as the current is off the rails.,pdawg43,2025-04-19T22:18:33,-8
Hmm,skarface6,2025-04-20T02:58:32,-1
They don’t even allow uncovered knees and shoulders in.,Common-Run-8567,2025-04-19T21:37:05,14
"Citizenship in the Vatican is not permanent or birthright-based. And there are, what, 1000 people? So not a fair comparison.",Unfair_Ear_4422,2025-04-20T02:01:23,8
The Vatican is a country. That has very strict immigration policies,MuffinsandCoffee2024,2025-04-19T20:10:47,26
"You mean, the center of the biggest Judeo-Christian religion; which is the basis of our country’s values?",Gmen11111,2025-04-19T22:43:14,20
Because it is a Sovereign State?  Because it leads the largest Christian denomination?  Because Catholics are Catholics first and American second?,NotRadTrad05,2025-04-19T20:13:16,42
"Nor should they. People are going into a church so they should dress decently.  I think if you’re going to, say, the photo place they don’t care.",skarface6,2025-04-20T02:59:17,3
And a big beautiful wall that completely surrounds the country.,C4Dave,2025-04-20T03:40:43,26
No the walled nation that doesnt even have an immigration process.,Far-prophet,2025-04-20T11:28:04,7
"No, that’s not what I meant. The people that upvoted me 27 times get it, my fellow conservative.",RollTider1971,2025-04-20T08:09:12,-8
Good thing America was built by Protestants,Comprehensive_Ad5293,2025-04-20T00:45:24,-10
