Comment,Author,Date,Score
"The irony in being told no one is above the law by celebrities and politicians who are by far some of the most corrupt people in our society that are, in fact, above the law as we have seen on many occasions is genuinely laughable.",tylerray1997,2025-04-26T08:09:19,753
"She broke the law. She got arrested for it. Nobody is above the law, yet the left seems to be upset that she's being arrested? Make it make sense.",theboss2461,2025-04-26T07:32:31,539
Nobody is above the law!,BerniWrightson,2025-04-26T08:04:34,82
Joe Biden certainly was above the law. 100% guilty of having classified documents and nothing happened. Hunter Biden 100% guilty of having classified documents on his laptop and nothing happened. No one is above the law unless you are a democrat.,AdagioVast,2025-04-26T08:06:52,109
Mark Hamil is such a joke lmao,agk927,2025-04-26T08:23:52,51
"What they mean is: “no republican or libertarian can do anything that a democrat doesn’t want them to do, irrespective of whether there is an actual law that prohibits it”.  The corollary is that “democrats can ignore any actual law without penalty if doing so furthers their present political positions”.  (Or something like that.  It (d)epends…)",cweberlaw,2025-04-26T07:48:02,36
"This is not a case of political law-fare. If you read what actually happened, and not just the headlines, this judge is guilty af.",jakedonn,2025-04-26T08:40:56,32
Because the judge is (D)ifferent.,GxdOfWar,2025-04-26T07:58:18,29
It's (D)ifferent,Jellys-Share,2025-04-26T07:47:18,39
The law also says people in that are not invited to come and live in this country are illegal immigrants and should be deported. Somehow they forgot about that part of the law.,LurkerNan,2025-04-26T15:00:02,12
"Nobody is above the law, except for MS-13, Drug smugglers, corrupt judges, crackheads like hunter biden, and big pharma CEOs.",Phenzo2198,2025-04-26T08:44:50,10
"Agreed. So if it’s true that judge impeded a lawful arrest, she deserves the consequences.",DaHomieNelson92,2025-04-26T07:45:49,7
All Republicans should post it too then,maytrav,2025-04-26T10:16:15,3
"Funny how ""no one is above the law"" turns into ""but not our judge"" when the tables turn. If you believe in equal justice, it shouldn’t depend on who’s in the spotlight.",Kitchen_Bicycle4339,2025-04-26T07:50:09,2
It’s because they don’t like the law that’s being upheld. If they can’t abolish a law they prefer the system just ignore it and reward anyone who violates it.,Impressive-Control83,2025-04-26T08:02:00,0
Those are the same people who were screaming to arrest a former and now sitting president just last year.,IVcrushonYou,2025-04-26T09:00:17,2
"In case you haven't caught on yet, these people do not mean what they say and you should never take them at face value.   That's why ""debating"" them is pointless.",mythic_dot_rar,2025-04-26T11:18:22,1
Dumbass judge breaking laws. What has happened to the Democrats that use to be more to the left center?,Helpful_Source_8985,2025-04-26T07:55:28,2
Gotta slow down with them. They just learned the phrase “due process.” Maybe in a few decades they’ll figure out what it means.,777_heavy,2025-04-26T08:26:01,0
Its (D)ifferent,Staind075,2025-04-26T10:55:26,3
The liberals always practice do as I say not as I do.,Long_Jelly_9557,2025-04-26T11:53:57,3
They're unserious people. Very theater kid coded behavior ,i_floop_the_pig,2025-04-26T13:12:35,1
