Comment,Author,Date,Score
They never said anything like this about the American hostages taken by Palestinians. They hate citizens.,kaytin911,2025-04-17T05:36:07,288
"On one hand I get it.  The leftist supreme judges who said if this could happen to him it could happen to anyone.  On the other, this guy is literally a citizen of El Salvador.  He holds nothing more than a judges order saying he can be in the United States, but once he’s back in El Salvador he’s at their mercy.  We’re not talking about a US citizen, and the more we learn about this guy the more I wonder why he’s getting all the special treatment.",j3remy2007,2025-04-17T05:31:21,268
They won’t stand for Laken Riley but they’ll fly to El Salvador to free a non-citizen who’s been credibly accused of being a terrorist.,UltraAirWolf,2025-04-17T07:09:00,128
"They’re creating such an awesome party platform for themselves. They’re the party of importing an El Salvadoran gang members, protecting non-citizens who express their anti-Semitic views by leading mobs to take over buildings, men in women’s sports, government waste and the endless federal bureaucracy.",777_heavy,2025-04-17T05:40:15,210
I wish they cared about Americans as much as they care about gangbangers.,WWII-Collector-1942,2025-04-17T07:00:38,77
"Baltimore looks like a post-apocalyptic city straight out of The Walking Dead, and this idiot’s in a foreign country trying to convince them to show him some random citizen of El Salvador with no connection to the US.  And somehow, Maryland voters will continue to elect him because that’s how stupid they are.",[deleted],2025-04-17T11:02:34,15
if only he'd fight that hard for the best interests of american citizens.,reaper527,2025-04-17T09:26:50,22
"It's actually ironic because nobody knew who this guy was until the leftist media latched onto this administrative error and broadcasted his name and location. But now because his name is being announced to the world, I'm sure there's some gang members in El Salvador that remember him and now know where to find him. If he gets killed it's because the media forcefully made him a martyr without his consent.",specter491,2025-04-17T09:02:05,34
What a colossal dumbass.,cchris_39,2025-04-17T11:50:18,7
If only the democrats would work so hard for law abiding Americans.,AstraVolans_21,2025-04-17T10:41:50,13
[deleted],[deleted],2025-04-17T06:02:59,35
I'm glad he is showing where his priorities are.,murderinthedark,2025-04-17T07:14:06,16
Imagine if he fought this hard for American citizens,Bozzz1,2025-04-17T11:07:50,11
"Look, I understand the public policy reasons for why he should and should not be returned. Legally, however, I think the administration is wrong.   While they are correct that the court does not have jurisdiction over a citizen of El Salvador in El Salvador, I think the real issue is who are the parties to the case. In this case, the parties include the U.S. Government, who the court **does** have jurisdiction over.   While the court cannot order Garcia to return or El Salvador to release him, it can order the U.S. Government, as a party in the case over which the court has jurisdiction, to expedite his return to the U.S., since the U.S. is the party who deported him to a prison which the U.S. contracts with to maintain him in.  Whether we need to change our immigration laws to make them stricter or create forms of expedited deportations is beyond the scope of this comment.",Cestavec,2025-04-17T10:12:24,44
"Please don’t focus on the American people. Whatever you do, stay vigilant for illegal aliens.",Flare4roach,2025-04-17T06:36:39,24
