Comment,Author,Date,Score
To whomever DM’d me last night for saying that I’m brainwashed for  being against socialism just watch your idol in this video. Proves my point that those who preach it the loudest are also the biggest hypocrites.,SouthernNumismatist,2025-05-08T14:26:56,12
"Under socialism, only the Party gets to live in luxury.",purplebasterd,2025-05-08T20:40:29,5
Irony is not a concept that narcissists comprehend.,cito4633,2025-05-08T10:45:29,21
"All animals are equal, but some animals are more equal than others.",raccoonbandit13,2025-05-08T11:00:42,9
"Somewhat like Comrade John FORBES Kerry, too busy/important to fly with the normals/serfs.",New_Ant_7190,2025-05-08T12:58:04,4
lolol bernie is a looser,murderinthedark,2025-05-08T10:30:01,14
I don't care who flies private or not.  just don't pretend to care about pollution or costs...,TooHotTea,2025-05-08T11:30:24,7
"And why would we watch it? We all know it's always ""D""ifferent.",Flashy-Increase-2075,2025-05-08T10:46:18,7
"An economy that works for all, huh? There’s a word missing there: “producers.” And our economy works great for all producers.",rdenghel,2025-05-08T10:56:25,0
Save it,-Throw_Away_16-,2025-05-08T10:41:37,0
"Also hypocrisy. I have a relative that can be very callous towards her siblings, but if any of them respond in kind, she has no idea where that reaction could have come from.",According_To_Me,2025-05-08T13:39:08,5
"I've got no love for the hypocrite but, what is he looser than?",Euroranger,2025-05-08T14:31:43,-1
Bernie is a liar and a looser!  Pronunciation: loose-ah,murderinthedark,2025-05-08T14:42:50,-2
