Comment,Author,Date,Score
YES! They can't stand it because it's TRUE. The HATE-- it flows through them and makes them the Dark Side.,Puzzleheaded_Two6805,2025-04-19T10:37:30,470
Magats believe in hate. That’s their default setting.,HaxanWriter,2025-04-19T10:58:02,176
"These are the people that got their panties in a twist because NPR read liberal propaganda over the air.  Oh, that was the Constitution of the United States.,",MotherofHedgehogs,2025-04-19T10:53:02,94
"Install c a m e r a s. Can't emphasize this enough. It is a crime, and a violation of free speech.",nyc_flatstyle,2025-04-19T12:15:39,30
Please put five new signs in its former place. Fuck these haters!,cowdoyspitoon,2025-04-19T12:32:36,25
They couldn’t read it so they had to take it to someone they know that could decipher the message.,ChuckXRP,2025-04-19T10:43:47,101
"I mean, they do like their hate...",ResistEfficiently,2025-04-19T11:08:52,21
"They won’t allow ‘All are welcome” in a classroom, so yeah, they’re into full on hatred.",OkOutlandishness7336,2025-04-19T11:46:03,21
"Racists, bigots and xenophobes would disagree with your sign. It’s offensive to their belief system.",jquest303,2025-04-19T10:36:15,57
"I triggered a bunch of magats with a sign that read ""due process is not optional"" so yeah",jphistory,2025-04-19T11:12:12,52
"There is nothing distinctly maga about this sign or message, but just the fact that it mentions hate makes  them know it’s about them",_W9NDER_,2025-04-19T14:42:18,16
No one should ever put out a sign that may be considered political in any way...... Without a nice layer of pepper spray on it and a HD camera pointed in that direction for our entertainment!,DirectorNo192,2025-04-19T12:59:12,14
"It’s because they know it, and they resent you saying it out loud. Hell they resent that you have a right to say anything out loud. So they take it.   It’s their shame that makes them do it.",Outrageous-Pause6317,2025-04-19T11:51:47,13
First the libs try to take away our guns. Now they want to take away our hate! rAbBLe RaBbLe rAbBlE RaBbLe,Carma_626,2025-04-19T15:23:16,14
MAGAt's are nothing but hate.,phillygirllovesbagel,2025-04-19T11:40:01,11
"The people who stole it disagree.  I got one but not sure if I'm putting it out, if I do it will be near my door and not the front of the property,. I live in red county Florida.",crosstheroom,2025-04-19T10:59:38,10
Put up 10 more and a camera.,IdahoDuncan,2025-04-19T13:04:55,10
It doesn't take much to trigger fragile people. Stealing a sign is pretty weak-minded.  Put up another sign and install a Ring camera.,mistyeyesockets,2025-04-19T14:35:45,10
Hand make a sign that says **Stealing Signs that say Hate Never Made America Great doesn't Make America Great.**,mrkruk,2025-04-19T15:06:02,11
"Somebody gave me a sign similar that for the front of my house. Then I went and ordered one that says “love not hate makes America great.” I also ordered a bumper sticker with that on it. Luckily, I’m in the great blue State Of Illinois. so far nobody has taken either one of them.",Mental-Paramedic9790,2025-04-19T11:54:33,9
They’re self-owning that they’re the hateful party,Jaygirl18,2025-04-19T13:14:07,10
Typical MAGA cowards that only come out at night,atuarre,2025-04-19T14:14:51,8
They’re supposed to be the “macho” party 🤣 but are afraid of everything outside their small world view.,MarHar15,2025-04-19T15:13:17,8
They aren’t FOR anything…only AGAINST a lot of stuff.,jencbowles,2025-04-19T16:34:55,9
Yes. It challenges their white supremacy movement,One-Dot-7111,2025-04-19T11:02:40,16
Hate is the only thing that gets them out of bed in the morning. You’re invalidating their entire existence.,MangoSalsa89,2025-04-19T17:44:12,7
