Comment,Author,Date,Score
“Heading.” Lol. Okay. Though I believe we are already thoroughly ensconced in the middle of fascism now.,HaxanWriter,2025-04-22T09:22:03,42
If only there were warning signs before the election…,Equivalent_Working73,2025-04-22T08:42:33,56
Doesn't take a scholar to figure that one out.,Mundrik,2025-04-22T09:31:36,28
"People are still arguing if the South-African Nazi threw a fucking hitler salute or not...   The US could boil and people would still argue if the water is warm or just slightly warm, while half of the people would argue that water isn't real...   The US is totally lost",w1bm3r,2025-04-22T11:41:43,18
"This is what MAGA wanted and embraced.   Too bad the ""independents"" didn't vote.",Onsquared,2025-04-22T12:50:38,12
"So is a solid third of the country.  One third is shouting this from the rooftops, another third cheers it on in spite of having previously jerked off about “the constitution” endlessly, and the final third is too busy worrying about what the Kardashians are doing on TikTok or whatever to give a damn.",forceblast,2025-04-22T13:26:23,7
"I just read a GREAT (and horrifying, terrifying) substack article from Ruth Ben-Ghiat just today that made an excellent case that we are ALREADY there. I believe it's her latest contribution. EVERYONE needs to read it-especially MAGA. We're there. We just don't want to admit it.",Puzzleheaded_Two6805,2025-04-22T10:42:45,6
Heading? Pretty sure we're already there.,lnc_5103,2025-04-22T11:46:16,6
Frank Zappa is right. https://youtu.be/AlePLLlfH4Q?si=JweqrqRX1BOY-c5U,Lost-Task-8691,2025-04-22T08:50:24,3
Thanks Captain Obvious!,woodwardsystems,2025-04-22T17:32:12,4
Did they just figure this out? The rest of us have known for a while...,Jasoncatt,2025-04-22T20:30:58,4
Successful authoritarians are at least a little competent. He and everyone he appoints are bumbling morons. Maybe our only saving grace.,Acuallyizadern93,2025-04-22T20:54:31,3
ICE is rapidly on track to becoming the secret police force. Soon to be reinforced by mountains of data analysis,IdahoDuncan,2025-04-22T21:20:14,2
"It looks that way which is scary af. I never thought my country would ever loolk like this- I just never thought so many people would betray our country, never once did I ever think this was possible",floofnstuff,2025-04-22T21:49:05,2
"“In a competitive authoritarian system, a leader comes to power democratically and then erodes the system of checks and balances. Typically, the executive fills the civil service and key appointments — including the prosecutor's office and judiciary — with loyalists. He or she then attacks the media, universities and nongovernmental organizations to blunt public criticism and tilt the electoral playing field in the ruling party's favor. fast ""The government would still have elections and would nominally be democratic,"" says Rory Truex, a political scientist at Princeton who focuses on China. ""But those elections would no longer be free and fair.""   This all sounds familiar. Doesn’t it?",kmm198700,2025-04-22T23:44:17,1
I always relied on appeasement towards the masses as the reason why billionaires have not tried this in the past.  Like I always thought that billionaires wanted people to be just comfortable enough that we’d remain happy enough not to rise up against them.  Wouldn’t that be easier?,Christ_on_a_Crakker,2025-04-23T08:32:06,1
"Apparently, the low IQ, poorly educated magats realized  in 2015 that they're incapable of being the slave masters any longer and that what they needed was a Grand Slave Master(wizard) to tell them how to be good Wage Slaves.",Old_Fossil_MKE,2025-04-23T10:48:26,1
Nah the really bad part hasnt even begun yet,Daggerfaller,2025-04-22T21:16:02,8
Not the brightest scholars in the scholar drawer.,SimonGloom2,2025-04-22T22:12:09,0
Too bad this is a country of morons & if you try to correct them they double down on it,burritoman88,2025-04-22T10:04:58,18
"According to the survey, which shows that Republicans think we are a stronger democracy now than we were two months ago, I guess it does.",pacexmaker,2025-04-22T10:30:40,6
What’s the name of the article / link?,Opposite-Ship-4027,2025-04-22T22:03:12,3
"I work with a guy that I talked with yesterday about the economy. In the same breath of talking how bad it is, he also said ""oh well I guess we had to pull the band aid off sometime"". Im like wtf does that even mean.",Mundrik,2025-04-22T12:17:10,8
