Comment,Author,Date,Score
What kind of evil shit is this?,Wrong_Confection1090,2025-04-07T10:34:05,541
"This innocent man has a family including a 5 yr old child!!   So much for ""traditional family values""! Wake up MAGA it was never about border security but about your bigotry! WWJD! not this I know that!",Slimcakes504,2025-04-07T11:24:35,114
Let’s make a trade. Armando Abrego Garcia for trump AND musk.,oscar-the-bud,2025-04-07T10:56:28,105
I fear he is dead.  That is the only conceivable reason why they are arguing against his return.,JescoWhite_,2025-04-07T11:38:42,100
"They're firing the lawyer that was supposed to argue that they didn't have to bring him back, because when the judge asked him why they couldn't, he said he asked the same question and didn't get a good answer...",MarkDoner,2025-04-07T11:10:49,64
"It is clear that the Orange Idiot is not even interested in doing the right thing once identified, nonetheless actually being within the law.  25th him now.",parallelmeme,2025-04-07T11:09:17,31
"I have written to my local congressperson and senator asking for the immediate return of all Venezuelans, 97 percent have committed no serious crimes, 75 with no criminal record, 22 percent with only minor crimes. I hope you will join me and do the same on behalf of these people.",paxwells97,2025-04-07T11:25:54,27
Why does this Sim Of A Bitch get to use the Supreme Court as his personal attorney service??? Nobody gets to the SCOTUS as often as he does...,EmptyEstablishment78,2025-04-07T11:40:28,28
Don’t people get it? (Of course they don’t). Trump is a fucking white supremacist and he doesn’t believe non-white people belong in this country other than to be subjugated. “Mistakenly deported” brown guy? 🙄  Come on folks.   The “illegal immigrant” and “border” trope is manufactured bullshit to disguise the real desire of these people - no immigrants (unless you’re from Russia or Norway or the white parts of Europe).,SoftwareHot,2025-04-07T11:47:19,17
He is actively fighting to keep an INNOCENT MAN in a torture camp. There is no justifying this,ScrambledToast,2025-04-07T12:54:58,16
"This is a simple decision for any court, if you once again say that he can do anything he wants with immunity, you'll soon be next when he decides the courts need to go to further strengthen the executive branch.",Trying2balright,2025-04-07T11:10:33,17
"Cruelty is a feature, not a bug. To magats, cruelty feels powerful and fulfilling. It's a sickness.",DrXenoZillaTrek,2025-04-07T11:40:54,14
"Even if the all guys aren’t dead, and they return home, they are traumatized for life. So are their families and neighbors. It’s cruel.",stripmallbars,2025-04-07T11:46:56,12
"Democrats should make this an ad in places where Hispanics vote for Trump grew, like here in South Texas.",photozine,2025-04-07T12:09:38,11
