Comment,Author,Date,Score
Is it not already a felony?,Single-Stop6768,2025-05-03T07:44:09,43
Saving themselves jail time no doubt.,wanttostaygottogo,2025-05-03T05:26:05,28
"Come 2026, Republican candidates around the country should highlight this issue as an example of Democratic moral corruption and perfidy.",Vessarionovich,2025-05-03T08:24:17,31
Of course they did.,Thats_Dr_Anthrope_2U,2025-05-02T21:51:12,62
Disgusting.,whippingboy4eva,2025-05-02T22:21:51,40
Is this why they want to keep the border open? ,Sheriff_Hopper,2025-05-02T22:40:03,37
California is now a state I wouldn't AT ALL want my kids anywhere near. It's become increasingly DANGEROUS to be out there for any reason. ESPECIALLY for kids.,ITrCool,2025-05-02T21:19:24,49
Kalifornia continues to push the boundaries of stupidity and evil,melie776,2025-05-03T07:48:20,5
Was there any legitimate reason for this? Article's paywalled.,AGhostMostGrim,2025-05-03T08:39:23,7
"Defend the children, no matter the costs.",AstraVolans_21,2025-05-03T01:33:48,9
