Comment,Author,Date,Score
"Natural born citizen, who is an immigration lawyer, was told she had 7 days to leave the US.These ""mistakes"" will continue if there are no consequences.",Lebarican22,2025-04-13T17:41:28,97
I wouldn't put it past this administration to deport American citizens they deem a threat or objectionable for whatever reason. They don't seem to care about following the rule of law.,baby_budda,2025-04-13T19:33:24,46
She showed the evidence so it’s not that she said. A second generation American who’s family is from Italy!,gomezer1180,2025-04-13T19:12:29,11
These are not flaws but features.,mvedtosc,2025-04-13T18:08:54,18
"The excuse doesn’t make sense. The email was addressed to her, how is that a mistake?   Also, that’s a big mistake..,",SFGal28,2025-04-13T20:29:29,13
Our current government is similar to Soviet Union,Own-Resource221,2025-04-13T22:31:40,5
"Evidently, only Europeans are safe from deportation. She isn't white enough, so she has to go. That's what Republicans want.",mirage110-26,2025-04-13T19:51:28,4
This is a trial run tondepoet US citizen who refuse to pledge publicly their loyalty to Trump.,Lost-Task-8691,2025-04-14T15:04:18,1
“If”?,burritoman88,2025-04-13T20:08:52,18
I think k they are already are. ,Ashamed_Job_8151,2025-04-13T20:40:54,13
They will come for all of us.,chmod777,2025-04-14T05:43:29,7
She was one of several immigration attorneys. It wasn't a mistake. ,Lebarican22,2025-04-13T20:56:07,17
Several immigration attorneys are getting are getting notified of their need to leave. This is an intimidation tactic. ,Lebarican22,2025-04-13T20:58:04,14
"The attorney in this case is of Italian descent. And there’s reports of European tourists and even a green card holder from Germany being detained by ICE. Maybe they’re safe from being sent to El Salvador (for now), but that’s about it.",deesta,2025-04-13T21:21:13,4
Exactly,SFGal28,2025-04-13T20:56:33,6
