Comment,Author,Date,Score
"Unspoken rule they can spend several $$$ on gender affirming care to look more like their gender, but nobody else can.",Kannazuki1985,2025-04-26T09:24:53,107
Shh..they are not really women  See: Stepford Wives by Stephen King.,bakeacake45,2025-04-26T11:47:32,22
"There is definitely a spooky uniformity to the look and manner of these frontline maga women.     Ech!!!!!  They remind of Hitler's ideal blond Frauleins, though more empowered for a more modern world, though still virulently sexist.  They're all white, pretty and heartless.     Leavitt--who i consider the most repulsive of all--is a dead ringer for the Reese Witherspoon character in Election (Tracey Flick).",Weakera,2025-04-26T12:18:28,19
"That’s despite the fact that both Trump and the MAGA movement are characterized by a vindictive, nostalgic, unapologetic misogyny. Some Trump supporters [openly fantasize](https://www.vox.com/culture/408578/trump-tariffs-incels-misogyny-email-jobs) about how his improbable promise of bringing manufacturing jobs to the US might drive women out of the workplace and force them to become solely wives and mothers, while [Trump himself has been found civilly liable for sexual assault](https://www.vox.com/politics/23696250/e-jean-carroll-trump-trial-sexual-misconduct-rape-allegations).",PapyrusKami74,2025-04-26T08:39:34,38
"As a POC it always enrages me to see these white elitist/racist types spewing hate for immigrants and POC and then turn around and spray tan, lip filler, high check bones, ass implants ect to make themselves take on features of the very people they hate. SMFH.",Primary-Albatross-93,2025-04-26T10:56:44,61
Must wear cross necklace while lying publicly for the mango.,IreneAd,2025-04-26T12:25:22,12
"As soon as they start ""aging out"", which in MAGAt world, is about age 30, they begin to butcher their faces with bad plastic surgery, fillers, and injections. They have to keep their selling value up",LivingIndependence,2025-04-26T12:01:38,11
Does it involve lip fillers?,Formal_Lie_713,2025-04-26T09:53:27,16
They're not allowed to speak.   Gilead entered the chat...,Popular-Drummer-7989,2025-04-26T11:14:17,7
"Unspoken rule is they feel entitled to treat others like shit because they are treated like shit. They are second class citizens in a world of their own making. Bitter ass Karen’s would rather scream at a minority than ask for respect and equal treatment at home/church/work. Too bad it doesn’t help, they’re still bitter and miserable after.",SpotMama,2025-04-26T13:22:41,6
Bad hair extensions. Apparently they can afford the hair but not a good colorist to blend it. So ugly.,simplyannymsly,2025-04-26T11:08:21,11
Paywall.,stormlight82,2025-04-26T11:58:43,11
It’s behind a paywall. What’s the TL; DR?,Fisher-__-,2025-04-26T12:36:31,3
"I always assumed they had special schools where they learn how to screech like banshees, and take lessons on how to say the most moronic thing possible, in the most idiotic way possible, while still somehow keeping a straight face as if they actually think people take them seriously.",Numerous_Photograph9,2025-04-26T15:50:39,3
Why are they examples? They aren't representative of the average MA GA woman in nearly any way. They have and will continue to have a wealth of resources under their direct control regardless of what EO's are ordered or laws are passed.,JennyAndTheBets1,2025-04-26T16:19:59,3
[deleted],[deleted],2025-04-26T13:08:48,2
Nobody here cares about dem DEI reeepublikans,[deleted],2025-04-26T13:10:56,2
"They have to be unspoken, maga women aren’t allowed opinions except those issued by their owners.",Old_Baldi_Locks,2025-04-26T14:01:31,1
Can someone help get past the paywall?,CardiologistIcy5307,2025-04-27T09:18:00,1
They all look like a blowup dolls .,LDSBS,2025-04-28T00:16:41,1
Plastic bitches,slobs_burgers,2025-04-26T14:09:16,31
*less like humans of their gender and more like platypuses*  Apologies to platypuses.,HippyGrrrl,2025-04-26T19:51:52,6
![gif](giphy|VGcA8Fzh98HHE8AL1v|downsized),AFundieSaysWhat,2025-04-26T14:34:32,6
Yes! That's is exactly what they remind me of. Robotic and cold.,MetalMamaRocks,2025-04-26T13:19:15,7
Small correction - Ira Levin wrote The Stepford Wives (he also wrote Rosemary’s Baby).  The 1975 movie is fantastic.,Miss_Behavior,2025-04-27T15:00:01,2
Serena Joy is their patron Saint,souprunknwn,2025-04-27T04:19:18,6
"Wait, do they think women don't work in manufacturing? Loads of factory jobs are traditionally done by women. Who do they think makes all the clothes?",monkeysinmypocket,2025-04-27T02:20:33,4
"Nothing makes me more perplexed (as a rare GenX white male middle class hetero liberal) when a Trump supporting rich white kid is walking down a hallway spewing gangsta rap.  Like, dude...not your experience at ALL.  I think MAGA FANTASIZES about being oppressed and this is all a cosplay that has gone way too far.",Big_Bookkeeper1678,2025-04-26T11:07:58,23
