Comment,Author,Date,Score
This is a great idea and sorely needed.,Juice-Altruistic,2025-05-09T18:49:47,141
Can't wait to see the numbers and explanation on why the cost per center resident exceeds a million per year.,Baptism-Of-Fire,2025-05-09T15:43:45,130
I’m sure this will be well covered by MSM.,GentryMillMadMan,2025-05-10T06:42:37,14
Democrats refused to clap for a child cancer survivor honored by Trump. They will hate this.,chances906,2025-05-09T19:44:16,42
"This will surely anger the ""Americans Last"" Democratic Party",Sheriff_Hopper,2025-05-09T18:09:10,40
"Yup, America needs to actually focus on helping people who are actually legal citizens of America.",ENERGY-BEAT-ABORTION,2025-05-10T10:20:57,13
Because they’re using American tax dollars to pad the pockets of friendly landlords and vendors as payback for promoting and donating to their campaigns. They should be in jail.,Funny-Apricot-0712,2025-05-09T17:48:40,60
agreed,Erotic-Career-7342,2025-05-10T18:46:55,1
They were screaming about 50 white people being given asylum. They have naked racial hatred.,kaytin911,2025-05-10T06:17:16,7
Happening everywhere. The amount of money spent on the homeless problem in my city… could have literally just given each homeless person 3 million in cash. lol,Baptism-Of-Fire,2025-05-09T17:49:28,35
wait when did that happen?,Erotic-Career-7342,2025-05-10T18:47:04,1
More fun to give it to the hundred millionaires and billionaires lol 🤦‍♀️,Funny-Apricot-0712,2025-05-09T17:50:10,28
