Comment,Author,Date,Score
Trump doesn’t care if LGBT youth commit suicide. Just like he doesn’t care if poor children lose Head Start. He is evil and overwhelmingly supported by evangelicals. It doesn’t make any sense.,Adept_Statement_4980,2025-04-24T00:47:38,174
"What benefit could they possibly extract, that is worth depriving life-saving mental health services to thousands of LGBT Americans?  This administration has proven itself to be rather wicked, maybe that's the point.",Landon-Red,2025-04-24T00:42:30,56
He is continuing to make more and more of you targets. It's only a matter of time before YOU are his target. Why isn't he yours?,EnragedBasil,2025-04-24T00:52:08,46
Here is the fun part. I bet he isn’t even give a shit if people are gay or not. He does this so his maga people are having a victory…. While he stealing there money and future….. they get distracted and thinks he is their friend  while he is ******* them from behind,Professional_Pop2662,2025-04-24T02:35:02,26
What a piece of shit,ashlonious,2025-04-24T02:47:50,26
"If you really care about this and are in a position to offer money, [The Trevor Project ](https://www.thetrevorproject.org/)is specifically focused on suicide prevention in LGBTQ+ youth. They have denounced Trump MANY MANY MANY a time. You can make your donations to them. I can imagine they're about to spend a fortune in advertising, following this.  I'm not from TTP, I'm just the messenger so I'm not ENTIRELY sure about this, but they do have other options including [volunteering positions](https://www.thetrevorproject.org/volunteer/) if you want to give back in other ways.  Explore their website, check it out.",IslandFearless2925,2025-04-24T07:02:47,17
They’ll be replacing it with a call center that calls *you* if they think you’re an lgbt youth to try to harass you into committing suicide.,specqq,2025-04-24T02:49:11,15
"Suffering is the point, if the dirty inhuman others his followers label also get it they celebrate.",TiredOfBeingTired28,2025-04-24T01:36:24,9
"Hey Target, wanna take a first step to get back into the good graces of the American people, completely fund the LGBTQ+ youth suicide hotline.",jdstew218,2025-04-24T08:17:53,8
Despicable. Suicide amongst LGBTQ+ young people is abnormally high. This is specifically targeting them.  There used to be a time where leaders cared about their people.,Project_Rees,2025-04-24T05:41:15,6
Fuck Donald Trump,bluebird0713,2025-04-24T04:53:34,5
"When are people goin to wake up!!?? The mania pure evil, this administration is reminiscent of 1940s Germany",dmulcahy311,2025-04-24T04:54:11,3
The cruelty is the point. There is a special place in hell for Donald Trump.,bassocontinubow,2025-04-24T07:03:57,5
This is so sad.,MetalMamaRocks,2025-04-24T07:28:36,5
Because only the biggest asshole this planet has ever seen in recent history ,WetFinsFine,2025-04-24T07:42:43,3
We need to defund his golf trips. ,ilikeme1,2025-04-24T09:30:06,2
"Every time I think this POS has reached the lowest possible act of inhumanity,  he sadly proves me wrong. He, and his cult members, disgust me.",De_chook,2025-04-24T05:38:01,3
What an evil bastard. He doesn’t care about anybody but himself.,Dasherpete,2025-04-24T10:11:45,3
"The point is to have the lgbtq community eliminate itself so they don’t have to spend money on eliminating it.   Well guess what trumpy? We’ve been here since the beginning of recorded history. We aren’t going anywhere, and will continue to garner support from our own community and outside it.   All while your name will be uttered the same way a certain mustachioed man’s name is uttered now.",annaleigh13,2025-04-24T10:52:02,3
Had to check if this was an onion article.,Gransmithy,2025-04-24T02:32:51,2
JFC. Cruelty is the point to this regime.,Alternative-Dig-2066,2025-04-24T06:02:02,2
"Cruelty is a feature, not a bug. To magats, cruelty feels powerful and fulfilling. It's a sickness",DrXenoZillaTrek,2025-04-24T06:05:38,2
Cruelty is mission critical to the fascist project.,iKangaeru,2025-04-24T06:11:49,2
Weird pathetic KKKunt,OmicronAlx,2025-04-24T06:27:48,2
He wants these kids to kill themselves so he can point out how dangerous or mentally ill they are,Rosebunse,2025-04-24T06:51:21,2
The pro death and misery party,figmaster520,2025-04-24T10:51:05,2
He doesn't know the first thing about being a compassionate human being 🙄,RedRoom4U,2025-04-24T12:42:25,2
"Why does it feel like their platform is just pain and suffering? And it is, but, why? What’s the benefit of all the cruelty?",RecycleYourCats,2025-04-24T19:43:45,2
Makes sense. They'll take up less space in the concentration camps,Routine-Basis-9349,2025-04-24T09:05:01,1
Only to LGBT?  That’s discrimination. Fine I will pay more taxes here in California so our state can fund our own. F you to them then. And I’m not even anything close to LGBT. This crap is outrageous. Let people be.,brenawyn,2025-04-24T16:35:26,1
The Republicans want children to die.,IllustriousEast4854,2025-04-24T21:21:20,1
"Generally speaking, Trümp doesn't care if anyone suffers or dies as long as his power and wealth continue to grow.",sazerak_atlarge,2025-04-24T01:57:12,52
It makes perfect sense. Evangelicals are a gigantic hate group. Always have been. They voted for Trump to hurt other people thinking they'd be immune. They're disgusting individuals,blackie_4,2025-04-24T07:03:31,18
Or veterans,DJW1981,2025-04-24T08:37:45,5
Their cruelty is always the point.,Temporary-Charge-851,2025-04-24T01:49:33,33
"This is what I want people to realize. He has been quoted **ON CAMERA** many years ago saying that if he ran for president, he would run as a republican. Because “those people are so stupid and easy to control”",Revolutionary-Egg491,2025-04-24T06:18:09,15
Trump doesn’t give a crap about religion or abortion but he’s pretends it’s the biggest issues out there.  He’s the worst type of politician and has somehow convinced this sheep that he’s all for them.,barley_wine,2025-04-24T07:15:39,8
Came here to mention The Trevor Project as well. Great organization that will need more resources now.      Please support in any way you can!,corgm0m,2025-04-24T07:08:02,3
His whole life is a fookin onion article,dmulcahy311,2025-04-24T04:55:19,3
"They are sadists. Bukele, too.",lucyland,2025-04-24T06:40:13,1
Great idea. And it should allow callers from any state.,slurpeee76,2025-04-24T17:47:59,1
"Literally, the defining trait of MAGA is hate for others. It’s the only thing they really agree on.",Hippy_Lynne,2025-04-24T10:03:14,6
"Objectively astute or not, that’s been debunked:  https://apnews.com/article/archive-fact-checking-5466940186  *Ayo downvoter, link the video and I’ll respect your thumb.",sparf,2025-04-24T07:07:10,1
It should!  That’s right tele health/ tele mental health knows no borders?  We got this.,brenawyn,2025-04-24T18:09:58,1
"I skimmed so I probably missed something but that article just basically takes a longer way of saying “it’s not true” but I didn’t really see any proof.   What’s crazy is I’ve seen the video with my own two eyes. And when you look this up, google is FLOODED with random news sites saying it’s not true, that he didn’t he that.   I’m not a conspiracy lover but due to the fact that I’ve seen the video myself, I am unnerved",Revolutionary-Egg491,2025-04-24T07:50:10,5
"He's an imbecile but he's always been a politician.  His businesses dealt directly with consumers.  I can't imagine a reality where he would deliberately say that a 3rd of the American public was stupid, especially in the 80s when conservatism was at a zenith under Reagan.   He had a hard enough time staving off bankruptcies without deliberately alienating 10s of millions of people.  What is happening to Musk today would have happened to Trump then.  The still photo most commonly used in the memes that portend that he said it, are from an Oprah appearance, where he never said that.   He happily called politicians stupid, but not an entire group of voters.  I'm more concerned with the things he provably did say like telling Larry King that GHWB might come to regret coming out strongly against David Duke.",ruler_gurl,2025-04-24T16:23:10,1
