Comment,Author,Date,Score
"Is this the one where they were totally cool deporting cancer kids that were US citizens? Couldn't get the sound to work due to my  service. If it is, it just shows how the right hate everyone and don't care what happens to our own citizens.",Embarrassed_Angle_59,2025-05-04T13:27:09,40
History will remember these people and this time with accuracy. Grandchildren will ask where we stood on these human rights issues.,Soggy_Train3150,2025-05-04T12:52:13,58
This is disgraceful and disgusting!,crescentroze,2025-05-04T13:05:55,53
They are so scared of appearing to contradict Trump that they shelve their own humanity.   Sad.,VanDenBroeck,2025-05-04T14:18:02,28
"Cruelty is a feature, not a bug. To magats, cruelty feels powerful and fulfilling. It's a sickness.",DrXenoZillaTrek,2025-05-04T14:16:33,24
"Wtf is wrong with Republicans??  They’re supposed to be these God fearing, conservative, family people.  They’re totally opposite of that.  All they know is hate.",Initial_Ground1031,2025-05-04T14:39:05,19
"Pro life means it’s ok if the kid dies after birth.   Psalm 137:9, which says:  “Happy is the one who seizes your infants and dashes them against the rocks.” (NIV)",2begreen,2025-05-04T14:41:31,12
"Oh, but they might get MEANTWEETED by littledick Donald, ohhhmyyygossshhh!🫢",TheReluctantSojourn,2025-05-04T14:48:31,9
Republicans are disgusting human beings.  Every single one.,Laura9624,2025-05-04T15:09:49,8
Disgusting!,Sadro38,2025-05-04T15:00:35,6
"""but at least they'll die in their mother's arms"" /s",seattlemyth,2025-05-04T13:44:37,13
Did I miss that these scumbags are planning to deport American citizens just because they have cancer? Or was this just a thought question? Cuz this is friggin disgusting either way. So sad how they’d rather kiss the boot than have any humanity.,Bulldogs3144,2025-05-04T15:59:20,5
"They do, but loyalty to party, greed, and power is more important to those demons.",ScrollTroll615,2025-05-04T18:54:44,3
disgusting pigs,Loving_life_blessed,2025-05-04T19:05:07,3
"CALL THEM AND DON'T STOP! We need to FORCE them to confront the fact that the vast majority of Americans are FURIOUS about this, and about their criminal complicity with this ILLEGITIMATE REGIME.   Their staff has to log every call. We need to keep the firehouse open on them until it blows them into the gutter where they belong.  Here is a link to the Phone List for OUR U.S. Senators. Print it, share it, and USE IT DAILY.  THESE PEOPLE WORK FOR US- NOT TRUMP. CALL THEM EVERY SINGLE DAY AND REMIND THEM ABOUT THAT.  https://www.senate.gov/general/resources/pdf/senators_phone_list.pdf",1Surlygirl,2025-05-04T21:58:24,3
They are cowards and afraid of being primaried or are just sucking off the corporate greed tit.,ladymorgahnna,2025-05-04T23:50:21,3
Context:  https://www-bbc-com.cdn.ampproject.org/v/s/www.bbc.com/news/articles/c4g8yj2n33yo.amp?amp_gsa=1&amp_js_v=a9&usqp=mq331AQIUAKwASCAAgM%3D#amp_tf=From%20%251%24s&aoh=17463903183289&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Fwww.bbc.com%2Fnews%2Farticles%2Fc4g8yj2n33yo,justsomedude1144,2025-05-04T15:25:56,2
"Pointing out that they're assholes doesn't do anything because they don't feel shame.  Pointing out that they're hypocrites doesn't do anything because they're proud of it.  Democrats need to wake the fuck up and realize that they're the only ones that still play by the ""rules"" and the game is unwinnable if it stays that way.  The system is dead and there's nothing that keeps these monsters in check because they are without fear.",RNW1215,2025-05-05T19:27:28,1
"Ok, but it was not the child, who is a citizen, that was being deported. The child's mother, who is not a citizen, was the one being deported and was given the choice of she wanted to leave her child here in the states with someone she deemed safe, or take her child with her to her country if origin. So, the mother chose to take her child with her.",Arekage,2025-05-05T21:36:10,1
Disgusting Republicans !,mareko65,2025-05-05T22:00:23,1
I'm honestly baffled. How is it that the pro choice people are more pro life than the pro lifers?,BluXombie,2025-05-06T02:14:06,1
The Republican Party should be thrown in prison for Treason against the country and Constitution they have gone against their oath to protect the constitution and the citizens of the United States,squashy67,2025-05-07T12:38:53,1
But but but the evil democrats with tds didn't clap when they used a child with cancer to show what a great president Trump is. Like so great they're cutting cancer research funds.   Not standing and clapping is way worse than saying they wouldn't oppose deporting a child with cancer who is a US citizen  /s .,Bookshelfhelp,2025-05-05T07:06:12,1
Or this is just who they are and now they are free to be honest,kersius,2025-05-04T18:50:30,11
Come now .... They don't have any humanity.,1Surlygirl,2025-05-04T21:55:00,8
"Trump is whats wrong with them, either they really do agree with every horrible thing he wants or they know hes a fucking scumbag but are too goddamn afraid of him and his cult of dipshits to disagree with him and lose their seat possibley",FickleSystem,2025-05-04T16:42:04,12
They use religion as a shield.,Exotic_Active2744,2025-05-06T08:33:58,2
It has already happened.,kersius,2025-05-04T18:51:22,4
Please don't denigrate pigs like that. Pigs are FAAAAARRRRRRR SUPERIOR to these repugnant evildoers. 😡,1Surlygirl,2025-05-04T22:06:16,6
"reports indicate that a 4-year-old U.S. citizen with cancer was deported to Honduras with his mother after she was arrested, reports from the ACLU and other organizations stated. The child was deported despite his cancer treatment and without his necessary medication, according to civil rights groups. The mother was also deported, and a second child, a 7-year-old, was also deported to Honduras.   He was also deported without his medication. The doctors and mother pleaded with ICE to let the child stay until the child was healed and ICE refused. Stating they have orders. So no, the mother didn't agree to take the child with her.",Exotic_Active2744,2025-05-06T08:43:58,1
