Comment,Author,Date,Score
"She won’t. She’ll flip him off and continue to run under their platform, making things worse for them all.",ITrCool,2025-05-08T08:08:42,56
"I find it hilarious even tho Carville is an old dumb goat he actually is giving them realistic advice, but this commies just cannot help themselves, it must be *everyone* thats wrong, and they gotta go HARDER LEFT.",Chikaze,2025-05-08T08:16:39,49
She will get busted eventually for her money laundering schemes.,Iamstillhere44,2025-05-08T09:55:54,31
"One of the more blatant examples of the Old Guard attacking the new as they start realizing their own growing irrelevance...as well as the fruits of their own labor. Conservatives didn't make ""Little Mogadishu"", James. Conservatives didn't give us ""the Squad"".",Briguy28,2025-05-08T07:28:47,31
Even a broken clock is right twice a day.,VerusPatriota,2025-05-08T10:26:06,10
She actually needs to be charged under FEC violations for having the former Prime Minister of Somalia CAMPAIGNING for her last year! AND be kicked out of Congress for violating her Oath to the Constitution!,Status_Control_9500,2025-05-08T13:30:19,10
Old guard upset that importing 3rd world Marxists from 3rd world failed Marxist state is backfiring.,ObadiahtheSlim,2025-05-08T11:33:51,8
Ilhan Omar! Did you consummate the marriage to your brother!?   -Edgar the puppet,DannyDootch,2025-05-08T15:26:30,6
"The left's attempts at manufacturing heroes with *TV Magic* the past 10 years produced an endless series of plop culture divas using politics to make themselves rich and famous.  GOP replaces its useless old guard with people's champions, DNC stocks all its shelves with buyer's remorse then the old guys are coming out of retirement just to hold things together.",D_Ethan_Bones,2025-05-08T11:15:09,3
but bUt buT tHe dEmoCraTiCc paRtY haS beCoMe sO mucH moRe cOnseRvaTivE huRrrrRrr oVertOn wIndOw 🤪,Funny-Apricot-0712,2025-05-08T09:35:35,22
"He’s still stupidly himself at times, though.",skarface6,2025-05-08T13:20:27,8
"Carville has moments of lucid, common sense takes, and he is one of the liberals who has been a pretty big critic of woke leftism. He's in the ""Bill Maher cluster"" of liberals, though Maher is more willing to break bread with conservatives than Carville.",Antisocial_Worker7,2025-05-08T13:47:59,7
