Comment,Author,Date,Score
Note the specific mention of “ports of entry”… so as to not mention people just sneaking across.,fearless-penguin,2025-05-03T16:03:47,212
"More stalling to prevent federal immigration law from being enforced, this will go away once the state stops getting federal funding",ThatGuy7698,2025-05-03T17:56:04,183
Why is there a bill to enforce federal immigration law in the first place. Now who's going to be the first governor to go to jail,Silverado153,2025-05-03T16:50:58,196
Cartel Katie doing Cartel Katie things,yrunsyndylyfu,2025-05-03T19:53:16,96
So it’s perfectly okay for states to rebel against the Union again?  Democrats acting like it’s 1845 again smh,Shiny_Mew76,2025-05-03T19:23:04,140
I hope all of our constituents realize they could just ignore the law now just like she does.,gittenlucky,2025-05-03T19:07:20,75
I’m just not driving the speed limit anymore. Why am I following laws when people who create laws aren’t following the law.,Fabulous_Show_2615,2025-05-03T17:54:17,22
What responsibility does Arizona have at the state level for border enforcement? My assumption was that Border Patrol was responsible for 100% of that. So what is the actual objection about?,Spartanlegion117,2025-05-03T16:38:36,43
Questions is: Was this passed be a veto-proof majority? Would be a great middle finger to Hobbs.,the_house_from_up,2025-05-03T20:36:56,20
Time for ICE and the FEDS to go arrest the Arizona governor. And any other governor that spouts this BS.,redgrognard,2025-05-03T19:24:16,51
Fucking stupid woman.  Arizona can't get rid of her fast enough.,ponmbr,2025-05-03T21:30:52,24
FAFO.,capn_KC,2025-05-03T22:05:35,8
She is unfortunately my governor. I hope she gets voted out.,Impossible_Dirt_535,2025-05-05T17:14:56,2
[removed],[deleted],2025-05-03T17:31:07,1
Criminal,Erotic-Career-7342,2025-05-08T22:23:19,1
Worst and most embarrassing AZ governor since Fife Symington. She’s playing to the socialist transplants that are fleeing the Cali Cesspool.,BercCoffee,2025-05-04T14:14:32,-2
Or other states start suing Arizona.,jakobu,2025-05-03T18:16:08,90
🍿👀,whicky1978,2025-05-04T06:05:25,8
State LEO's encountering illegals and contacting ICE to have them removed.,Dramatic_Page9305,2025-05-03T17:15:31,65
The problem has been that local and state law enforcement will not honor detainees placed on illegal criminals in custody and let them out on the street.,like_a_diamond1909,2025-05-03T19:10:15,11
"I'll never forget registering to vote and it saying ""brought to you by Katie Hobbs"".  She was using the government website at her previous position to advertise, it was so criminal.",Unable-Couple-6413,2025-05-03T17:31:54,4
It's funny because Obama sued Arizona in 2010 over immigration policy.,Rare_Hydrogen,2025-05-03T22:10:47,31
Obama brought over so many messes from the Eastern world.,kaytin911,2025-05-05T14:21:20,2
